Sat Dec  8 10:44:46 2012    dbscan-9375.profile

         3325826313 function calls (3146135898 primitive calls) in 14862.432 seconds

   Ordered by: file name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numeric.py:2411(_setdef)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numeric.py:36(ComplexWarning)
179690207  499.178    0.000  709.497    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numeric.py:1574(isscalar)
        1    0.001    0.001    0.002    0.002 /usr/lib/python2.7/dist-packages/numpy/core/numeric.py:1(<module>)
        1    0.001    0.001    0.003    0.003 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:88(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:284(_add_types)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:433(_construct_char_code_lookup)
       26    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:232(bitname)
       30    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:448(_add_array_type)
       74    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:130(english_lower)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:770(_typedict)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:456(_set_array_types)
        1    0.000    0.000    0.001    0.001 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:300(_add_aliases)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:341(_add_integer_aliases)
       21    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:219(_evalname)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:785(_construct_lookups)
       40    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:157(english_upper)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:382(_set_up_aliases)
       14    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numerictypes.py:184(english_capitalize)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/records.py:214(record)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/records.py:83(format_parser)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/records.py:284(recarray)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ctypeslib.py:153(_ndptr)
       12    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ctypeslib.py:306(prep_simple)
        1    0.000    0.000    0.002    0.002 /usr/lib/python2.7/dist-packages/numpy/ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/fft/__init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/fft/fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/fft/helper.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/fft/info.py:171(<module>)
        1    0.001    0.001    0.034    0.034 /usr/lib/python2.7/dist-packages/numpy/lib/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/_datasource.py:482(Repository)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/_datasource.py:148(DataSource)
        1    0.001    0.001    0.001    0.001 /usr/lib/python2.7/dist-packages/numpy/lib/_datasource.py:33(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/_datasource.py:47(_FileOpeners)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/_datasource.py:70(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/_iotools.py:451(StringConverter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/_iotools.py:430(ConverterLockError)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/_iotools.py:437(ConversionWarning)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/_iotools.py:423(ConverterError)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/_iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/_iotools.py:145(LineSplitter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/_iotools.py:231(NameValidator)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/_iotools.py:20(_is_string_like)
        1    0.000    0.000    0.001    0.001 /usr/lib/python2.7/dist-packages/numpy/lib/arraysetops.py:25(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/arrayterator.py:21(Arrayterator)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/financial.py:8(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/format.py:136(<module>)
      262    0.006    0.000    0.009    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/function_base.py:3178(add_newdoc)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/function_base.py:1753(vectorize)
        1    0.000    0.000    0.002    0.002 /usr/lib/python2.7/dist-packages/numpy/lib/function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/index_tricks.py:453(__init__)
